"nearest_school","school_type","children_served","avg_walk_time_min","n_points_served"
"Amaroo","high",3472.7,31.8823878709065,79
"Stromlo","high",2754.1,41.7953992333109,121
"Melba","high",2708.7,34.5069050152723,110
"Harrison","high",1976.6,33.1691678083646,61
"Lyneham","high",1702.2,32.6564378330853,69
"Gold Creek","high",1461.1,38.0219481435542,47
"Caroline Chisholm","high",1453.3,29.6817180524149,70
"Telopea Park","high",1407.6,31.7533348689942,102
"Melrose","high",1406.6,28.067918200017,87
"Kingsford smith","high",1328.7,40.0757030477892,69
"Lanyon","high",1311,27.6748327697582,36
"Alfred Deakin","high",1135.6,39.31470281459,66
"Canberra","high",1029.5,40.9489616937944,81
"Wanniassa","high",1009.6,27.6287609503629,32
"Calwell","high",806.4,23.9780776532377,29
"Kaleen","high",804.6,23.9680859114438,34
"Namadgi","high",746.5,33.4391753781587,13
"Campbell","high",745.2,28.5063374547265,80
"Belconnen","high",567.7,19.9210959935853,38
"Kambah","high",226.3,13.9041437825909,3
"Nicholls","high",94.8,17.5657214151509,2
"Amaroo","primary",1859.4,28.5949700181937,49
"Ngunnawal","primary",1755.7,28.0124063306604,33
"Charles weston","primary",1274.9,33.0206011596101,54
"Harrison","primary",1261.2,26.4059835861737,30
"Palmerston","primary",1027.9,16.3161698426372,25
"Macquarie","primary",795.7,27.5850799545757,51
"Charnwood","primary",727,15.9805224169001,25
"Majura","primary",714.7,24.6984432064197,29
"Macgregor","primary",666.9,28.8696642337685,32
"Charles Conder","primary",599.6,16.4586245112242,18
"Arawang","primary",568.3,13.1059216813192,29
"Narrabundah","primary",565.2,33.3349900093934,28
"Florey","primary",547.6,16.0770803704406,24
"Duffy","primary",504.4,19.4195625903344,23
"Ainslie","primary",491.6,23.3673591767752,55
"Throsby","primary",491.6,14.7321774351903,13
"Namadgi","primary",480,18.6374244224394,6
"North Ainslie","primary",473.5,11.940537550477,21
"Gilmore","primary",469.6,21.1345137536955,24
"Latham","primary",459.8,13.845093256837,15
"Calwell","primary",442.1,14.8446408328448,12
"Wanniassa Hills","primary",431.2,13.5920063895316,9
"Chapman","primary",430.6,12.3896126382811,23
"Gordon","primary",427.5,14.9919462723325,9
"Kaleen","primary",399.7,16.3108958782846,12
"Lyons","primary",397.3,16.8054562764391,22
"Bonython","primary",387.2,17.0684260102579,14
"Monash","primary",362.5,17.8639674411722,17
"Miles Franklin","primary",362.4,16.236671272477,14
"Mawson","primary",339.1,14.8940400512479,22
"Isabella Plains","primary",335.8,14.8759654431269,11
"Curtin","primary",335.1,21.0859079414517,14
"Hughes","primary",333.4,13.8705250408009,17
"Giralang","primary",331.5,12.4825545936371,16
"Farrer","primary",321.8,19.4928702586578,22
"Gold Creek","primary",321.7,13.3997307380548,9
"Richardson","primary",312.8,12.6308581377149,12
"Garran","primary",311.7,21.0015776351643,20
"Maribyrnong","primary",305.3,23.0035513528271,13
"Gowrie","primary",304.8,9.71529406943175,12
"Telopea Park","primary",302.1,28.5179704606449,56
"Hackett","primary",269,13.6302160400717,12
"Mt Rogers Community School","primary",262.4,8.86936872388314,10
"Lyneham","primary",258.8,17.6957689398466,10
"Kingsford smith","primary",247.8,18.1881165888999,10
"Fadden","primary",237.3,21.0801487046378,16
"Higgins","primary",233.1,11.3983232008421,11
"Urambi","primary",220.8,16.1231270385433,4
"Theodore","primary",211.6,14.7363600187797,10
"Evatt","primary",211.2,10.6053912130917,9
"Torrens","primary",205.7,11.880157200434,15
"Yarralumla","primary",205,38.24427807145,28
"Red Hill","primary",202.3,20.8817287728271,11
"Weetangera","primary",189.2,11.0159518397716,12
"Hawker","primary",187.6,16.6092989744597,17
"Spence","primary",185.6,27.1439554313727,20
"Fraser","primary",185.4,8.76166936619795,12
"Wanniassa","primary",165.7,18.7073205917475,7
"Turner","primary",160.8,20.6366089721587,22
"Nicholls","primary",134.6,46.6510616151963,14
"Southern Cross","primary",123.9,43.0629219110164,12
"Forrest","primary",122.3,13.4430252052036,14
"Village Creek","primary",92.4,20.1378357275893,1
"Co-operative","primary",71.6,33.1407525893487,11
